id,URI,Title,MenuTitle,languagesID,Changed,domainsID,templatesID,module_viewsID,Meta_Keywords,Meta_Description,Meta_Title,Exposure,Menu_Hide,HomePage,Sort_Order
14,/,Home DynDNS,Home,1,2009-05-13 00:00:00,1,0,1,,,,Public,No,Yes,0
195,/,Creative Web Logic Network,Home,1,2022-12-17 00:00:00,3,0,1,Creative Web Logic .Net,Creative Web Logic .Net,Creative Web Logic .Net,Public,No,Yes,0
99,/features/,CMS Features,Features,1,2009-09-17 00:00:00,2,0,1,,,Bubble CMS Features,Public,No,No,3
100,/seo-sites-network-using-CMS/,Site Networks Using CMS,Site Networks Using CMS,1,2009-09-17 00:00:00,2,0,1,"seo, seo networks, site networks, seo nets, example sites",Sites using bubble cms lite to create and manage seo networks,SEO Site Networks Using CMS,Public,No,No,2
85,/,Bubble CMS Lite,Home,1,2009-09-18 00:00:00,2,0,1,"cms, website management, web design, web development, content management",A lite easy to use content management system,Bubble CMS Lite - Administer Multiple Websites - Languages From A Single Management,Public,No,Yes,1
92,/news-item/New-Website/,New Website,,1,2009-06-05 00:00:00,1,0,31,,,New Website,Public,Yes,No,0
105,/Web-Design-Development/,Web Design / Development,Web Design / Development,1,2009-06-05 00:00:00,14,0,1,,,Web Design / Development,Public,No,No,1
98,/,Creative Web Logic,Home,1,2009-09-20 00:00:00,14,0,1,"Clarence, NSW, yamba, maclean, iluka, web design, web develeopment, seo, promotion",Creative Web Logic Develops A Range Of Web And Client Based Software Solutions,"Clarence, Yamba, Maclean, Grafton, Web Design Development Promotion",Public,No,Yes,0
101,/login/,Business Login,Login,1,0000-00-00 00:00:00,1,0,21,,,,Public,No,No,1
102,/business-registration/,Business Registration,Business Registration,1,0000-00-00 00:00:00,1,0,22,,,,Public,No,No,2
103,/business-categories/,Business Directory,Business Directory,1,0000-00-00 00:00:00,1,0,221,,,,Public,No,No,4
104,/,Business Home,none,1,0000-00-00 00:00:00,1,0,25,,,Yamba NSW,Both,Yes,No,0
106,/Promotion-and-Marketing/,Promotion and Marketing,Promotion and Marketing,1,2009-06-05 00:00:00,14,0,1,,,Promotion and Marketing,Public,No,No,2
142,/,Reduce Fuel Consumption,Home,1,2009-04-20 00:00:00,20,0,1,"Reduce Fuel Consumption, peak oil, car performance, vehicle performance, oil extender, environment",Reduce fuel consumption is dedicated to environmental concerns of reducing motor oil waste and reducing fuel consumption.,Reduce Fuel Consumption,Public,No,Yes,0
108,/,Home,Home,1,2009-04-16 00:00:00,15,0,1,,,Home,Public,No,Yes,0
192,/,Home of CPanel Hosting,Home,1,2009-09-20 00:00:00,34,0,1,"Home of CPanel Hosting, pay in Crypto Currency","Home of CPanel Hosting, pay in Crypto Currency",Crypto CPanel Hosting,Both,No,Yes,0
110,/,Website Design,Home,1,2009-04-17 00:00:00,16,0,1,,,Home,Public,No,Yes,0
112,/members/home/,Member Home,Home,1,2009-04-19 00:00:00,1,0,1,,,Member Home,Member,No,No,0
113,/members/user-details/,User Details,User Details,1,0000-00-00 00:00:00,1,0,222,,,,Member,No,No,1
114,/members/logout/,Logout,Logout,1,0000-00-00 00:00:00,1,0,223,,,,Member,No,No,3
115,/forgot-password/,Forgot Password,none,1,0000-00-00 00:00:00,1,0,224,,,,Public,Yes,No,0
116,/Registration-Complete/,Registration Complete,none,1,2009-05-12 00:00:00,1,0,1,,,Registration Complete,Public,Yes,No,0
130,/login/,Business Login,Login,1,0000-00-00 00:00:00,18,0,21,,,,Public,No,No,1
118,/login/,Business Login,Login,1,0000-00-00 00:00:00,17,0,21,,,,Public,No,No,1
119,/business-registration/,Business Registration,Business Registration,1,0000-00-00 00:00:00,17,0,22,,,,Public,No,No,2
120,/business-categories/,Business Directory,Business Directory,1,0000-00-00 00:00:00,17,0,221,,,,Public,No,No,4
129,/,Home,Home,1,2009-04-20 00:00:00,18,0,1,,,Home,Public,No,No,0
122,/members/home/,Member Home,Home,1,2009-04-19 00:00:00,17,0,1,,,Member Home,Member,No,No,0
123,/members/user-details/,User Details,User Details,1,0000-00-00 00:00:00,17,0,222,,,,Member,No,No,1
124,/members/logout/,Logout,Logout,1,0000-00-00 00:00:00,17,0,223,,,,Member,No,No,3
125,/forgot-password/,Forgot Password,none,1,0000-00-00 00:00:00,17,0,224,,,,Public,Yes,No,0
126,/Registration-Complete/,Registration Complete,none,1,2009-04-19 00:00:00,17,0,1,,,"Registration Complete",Public,Yes,No,0
127,/,Australian Business Directory,Home,1,2009-04-20 00:00:00,17,0,1,,,"Australian Business Directory",Public,No,Yes,0
131,/business-registration/,Business Registration,Business Registration,1,0000-00-00 00:00:00,18,0,22,,,,Public,No,No,2
132,/business-categories/,Business Directory,Business Directory,1,0000-00-00 00:00:00,18,0,221,,,,Public,No,No,4
133,/members/home/,Member Home,Home,1,2009-04-19 00:00:00,18,0,1,,,Member Home,Member,No,No,0
134,/members/user-details/,User Details,User Details,1,0000-00-00 00:00:00,18,0,222,,,,Member,No,No,1
135,/members/logout/,Logout,Logout,1,0000-00-00 00:00:00,18,0,223,,,,Member,No,No,3
136,/forgot-password/,Forgot Password,none,1,0000-00-00 00:00:00,18,0,224,,,,Public,Yes,No,0
137,/Registration-Complete/,Registration Complete,none,1,2009-04-19 00:00:00,18,0,1,,,"Registration Complete",Public,Yes,No,0
138,/,Member Home,none,1,0000-00-00 00:00:00,17,0,25,,,,Both,No,No,0
139,/,Member Home,none,1,0000-00-00 00:00:00,18,0,25,,,,Both,No,No,0
140,/,Multiple Website CMS,Home,1,2009-04-20 00:00:00,19,0,1,"multiple website cms, multiple language cms, manage websites, content management system",Manage multiple websites in multiple languages from a single administration,Multiple Website CMS - Multiple Language CMS,Public,No,Yes,0
141,/Project-Managed-Process/,Project Managed Process,Project Managed Process,1,2009-04-20 00:00:00,19,0,1,"project managed, process flow, cms development",We use a proven and simple methodology for the development of our software .,Professional Standardized Project Managed Process ,Public,No,No,0
143,/Sydney/,Sydney,Sydney,1,2009-04-20 00:00:00,16,0,1,,,Sydney,Public,No,No,0
144,/,Welcome to Ozzy Website Development,Welcome to Ozzy Website Development,1,2009-04-21 00:00:00,21,0,1,Welcome to Ozzy Website Development,Welcome to Ozzy Website Development,Welcome to Ozzy Website Development,Public,No,Yes,0
145,/Sydney-Website-Development/,Sydney Website Development,Sydney Website Development,1,2009-06-09 00:00:00,22,0,1,Sydney Website Development,Sydney Website Development,Sydney Website Development,Public,No,No,0
146,/,Internet Website Design Development,Home,1,2009-04-25 00:00:00,23,0,1,"cms, multiple website cms, single administration cms, seo site networks","Bubble CMS Lite is able to manage multiple languages on multiple websites from a single administration, on search engine friendly site networks. ",Multiple Website CMS,Public,No,Yes,0
149,/,Grafton NSW Business Network,Home,1,2009-05-15 00:00:00,24,0,1,"grafton, nsw, directory, business",Grafton NSW is a business network is to promote business in grafton and the clarence valley,Grafton NSW Business Network,Public,No,Yes,14
150,/,Maclean NSW Business Network,Home,1,2009-09-23 00:00:00,25,0,1,"sydney, nsw, directory, business","Sydney NSW is the town in australia, this business network is to promote business in Sydney",Maclean NSW Business Network,Public,No,Yes,0
153,/login/,Business Login,Login,1,2009-05-15 00:00:00,24,0,21,,,,Public,No,No,1
154,/business-registration/,Business Registration,Business Registration,1,2009-05-15 00:00:00,24,0,22,,,,Public,No,No,2
155,/business-categories/,Business Directory,Business Directory,1,2009-05-15 00:00:00,24,0,221,,,,Public,No,No,4
156,/members/user-details/,User Details,User Details,1,2009-05-15 00:00:00,24,0,222,,,,Member,No,No,1
157,/members/logout/,Logout,Logout,1,2009-05-15 00:00:00,24,0,223,,,,Member,No,No,3
158,/forgot-password/,Forgot Password,none,1,2009-05-15 00:00:00,24,0,224,,,,Public,Yes,No,0
159,/,Business Home,Home,1,2009-05-15 00:00:00,24,0,25,,,Member Home,Both,Yes,No,0
160,/login/,Business Login,Login,1,2009-05-15 00:00:00,25,0,21,,,,Public,No,No,1
161,/business-registration/,Business Registration,Business Registration,1,2009-05-15 00:00:00,25,0,22,,,,Public,No,No,2
162,/business-categories/,Business Directory,Business Directory,1,2009-05-15 00:00:00,25,0,221,,,,Public,No,No,4
163,/members/user-details/,User Details,User Details,1,2009-05-15 00:00:00,25,0,222,,,,Member,No,No,1
164,/members/logout/,Logout,Logout,1,2009-05-15 00:00:00,25,0,223,,,,Member,No,No,3
165,/forgot-password/,Forgot Password,none,1,2009-05-15 00:00:00,25,0,224,,,,Public,Yes,No,0
166,/,Business Home,Home,1,2009-05-15 00:00:00,25,0,25,,,Member Home,Public,No,No,0
168,/,Yamba Web Design Development,Home,1,2009-05-15 00:00:00,26,0,1,"search engine optimization, internet marketing, website development, website design, web development, web design",Yamba web design and development is designed to meet the needs of local business in entering or updating the internet arena.,Yamba Web Design Development,Public,No,Yes,0
169,/news-item/Launch-Of-Business-Networks/,Launch Of Business Networks,,1,2009-05-15 00:00:00,26,0,31,,,Launch Of Business Networks,Public,Yes,No,0
170,/,Welcome To Unique Jewelry Network,Home,1,2009-05-15 00:00:00,28,0,1,,,Welcome To Unique Jewelry Network,Public,No,Yes,0
171,/Internet-Marketing/,Internet Marketing,Internet Marketing,1,2009-05-16 00:00:00,26,0,1,"internet marketing, search engine optimization, seo, sem, search engine marketing, social media, adwords management",Internet Marketing is as important for your business as regular advertising is important,Internet Marketing - Search Engine Optimization,Public,No,No,1
172,/, Gold Coast Website Design Development & Promotion,Home,1,2009-06-04 00:00:00,29,0,1,"i web biz, iwebbiz, Website Design, Website Development, Web site promotion, Internet Marketing, Search Engine Marketing, Software Development, Application Development, Graphic design, Flash animation, Search engine optimisation,  Brisbane, Melbourne,  Sy",Gold Coast Website Design Development Search Engine Marketing Promotion Software Development - Brisbane Sydney Melbourne,Gold Coast Website Design Development & Promotion,Public,No,Yes,1
173,/Project-Management-Services/,Project Management Services,Project Management Services,1,2009-06-05 00:00:00,29,0,1,,,Project Management Services,Public,No,No,3
174,/Nuflow-Tech-reline-repair-renew/,"Nuflow Tech, reline, repair, renew","Nuflow Tech, reline, repair, renew",1,2009-06-05 00:00:00,29,0,1,"cured in place pipe, pipe lining, trechless sewer repair, leak repair, queensland plumbing, qld, plumbing, plumber, pipe, repipe, re pipe, reline, renew, repair, cctv, camera, sewerage, mainline, cracked, broken, blockage, chokes, water, potable, sewer, s","Nu Flow Tech, Specialises in trenchless technolgy, Plumbling, Reline, Repipe, Renew.","Nuflow Tech, reline, repair, renew",Public,No,No,2
175,/Complete-Projects/,Complete Projects,Complete Projects,1,2009-06-05 00:00:00,29,0,1,"i web biz, iwebbiz, Website Design, Website, digital blitz,gold coast, Development, Web site promotion, Internet Marketing, Search Engine Marketing, Software Development, Application Development, Graphic design, Flash animation, Search engine optimisation",description,Complete Projects,Public,No,No,4
183,/Livestock-Exporters/,Livestock Exporters,Livestock Exporters,1,2009-06-21 00:00:00,29,0,1,livestock exporters,livestock exporters,Livestock Exporters,Public,No,No,0
177,/Completed-Projects/,Completed Projects,Completed Projects,1,2009-06-05 00:00:00,14,0,1,,,Completed Projects,Public,No,No,5
178,/Application-Sofware-Development/,Application Sofware Development,Application Sofware Development,1,2009-06-05 00:00:00,14,0,1,,,Application Sofware,Public,No,No,4
179,/Contact-Us/,Contact Us,Contact Us,1,2009-06-05 00:00:00,14,0,1,,,Contact Us,Public,No,No,6
180,/news-item/Launch-Of-Locality-Based-Directories/,Launch Of Locality Based Directories,,1,2009-06-05 00:00:00,14,0,31,,,Launch Of Locality Based Directories,Public,Yes,No,0
181,/Risk-Management-&-Compliance-software/,Risk Management & Compliance software,Risk & Compliance software,1,2009-06-08 00:00:00,29,0,1,"risk software, risk management software","risk software, risk register, risk matrix, erm","risk software, risk management software",Public,No,No,5
182,/,Home,Home,1,2009-07-03 00:00:00,22,0,1,,,Home,Public,No,Yes,0
184,/,Home,Home,1,2009-08-21 00:00:00,31,0,1,,,Home,Public,No,Yes,0
185,/,Home,Home,1,2009-09-17 00:00:00,30,0,1,"Multi User, Multi Website, Multi Language, Lite CMS, Easy To Use CMS, Website Hosting",Bubble CMS Lite is a powerfull yet simple to use content management System Website Hosting,Multi User Multi Website Multi Language Lite CMS Website Hosting,Public,No,Yes,0
186,/Links/,Links,Links,1,2009-09-17 00:00:00,14,0,1,,,Links,Public,No,No,7
187,/Features/,"Features, Website Hosting","Features, Website Hosting",1,2009-09-17 00:00:00,30,0,1,Website Hosting,Website Hosting,"Features, Website Hosting",Public,No,No,1
188,/contact-form/,Contact Form,Contact,1,0000-00-00 00:00:00,2,0,5551,,,Contact Form,Both,No,No,6
