id,CategoryTitle,SubDomain,domainsID
1,ABATTOIRS,abattoirs,0
2,ABORIGINAL GOODS,aboriginal-goods,0
3,ABRASIVE PRODUCTS,abrasive-products,0
4,ACCOUNTING SOFTWARE PROGRAMS,accounting-software-programs,0
5,ACETYLENE,acetylene,0
6,ACIDS,acids,0
7,ACOUSTIC MATERIALS,acoustic-materials,0
8,ACRYLIC SUPPLIES,acrylic-supplies,0
9,ACUPUNCTURE PRODUCTS,acupuncture-products,0
10,ADHESIVE PRODUCTS,adhesive-products,0
11,ADULT SUPPLIES & PRODUCTS,adult-supplies-products,0
12,ADVERTISING MATERIALS,advertising-materials,0
13,AERIALS,aerials,0
14,AEROBIC WEAR,aerobic-wear,0
15,AEROSOL CONTAINERS & PRODUCTS,aerosol-containers-products,0
16,AEROSPACE PRODUCTS,aerospace-products,0
17,AGRICULTURAL PRODUCTS & EQUIPMENT,agricultural-products-equipment,0
18,AIKIDO INSTRUCTION & SUPPLIES,aikido-instruction-supplies,0
19,AIR BRAKE PRODUCTS,air-brake-products,0
20,AIR COMPRESSOR PRODUCTS/SERVICE,air-compressor-productsservice,0
21,AIR CONDITIONING PRODUCTS,air-conditioning-products,0
22,AIR DRYING EQUIPMENT - SEE,air-drying-equipment-see,0
23,AIR FILTER PRODUCTS,air-filter-products,0
24,AIR FRESHENER PRODUCTS,air-freshener-products,0
25,AIR POLLUTION CONTROL PRODUCTS,air-pollution-control-products,0
26,AIR TOOLS,air-tools,0
27,AIRBRUSH PRODUCTS & SUPPLIES,airbrush-products-supplies,0
28,AIRCRAFT EQUIPMENT/MAINTENANCE & PRODUCTS,aircraft-equipmentmaintenance-products,0
29,AIRLESS SPRAY PAINTING PRODUCTS,airless-spray-painting-products,0
30,ALBUMS - PRODUCTS & SERVICES,albums-products-services,0
31,ALCOHOL,alcohol,0
32,ALLERGY PRODUCTS,allergy-products,0
33,ALL-TERRAIN VEHICLE SUPPLIES,allterrain-vehicle-supplies,0
34,ALMOND SELLERS,almond-sellers,0
35,ALOE VERA SUPPLIES,aloe-vera-supplies,0
36,ALTERNATORS - MOTOR VEHICLE PRODUCTS,alternators-motor-vehicle-products,0
37,ALUMINIUM GOODS & SERVICES,aluminium-goods-services,0
38,AMMONIA PRODUCTS,ammonia-products,0
39,AMMUNITION SUPPLIES,ammunition-supplies,0
40,AMPLIFIER EQUIPMENT,amplifier-equipment,0
41,AMUSEMENT PRODUCTS,amusement-products,0
42,ANALYTICAL PRODUCTS,analytical-products,0
43,ANCHORS & MARINE EQUIPMENT/SUPPLIES,anchors-marine-equipmentsupplies,0
44,ANNEXES - GOODS & SERVICES,annexes-goods-services,0
45,ANODISING SUPPLIES & SERVICES,anodising-supplies-services,0
46,ANSWERING MACHINE PRODUCTS,answering-machine-products,0
47,ANTENNAS - SUPPLIES & COMMUNICATION,antennas-supplies-communication,0
48,ANTI-CORROSIVE SUPPLIES,anticorrosive-supplies,0
49,ANTIQUARIAN BOOKS,antiquarian-books,0
50,ANTIQUE SUPPLIES & REPAIRS,antique-supplies-repairs,0
51,ANTISEPTIC SUPPLIES,antiseptic-supplies,0
52,ANTI-SLIP FLOOR TREATMENT,antislip-floor-treatment,0
53,ANTI-STATIC ELECTRICITY GOODS & SERVICES,antistatic-electricity-goods-services,0
54,APPLE SELLERS,apple-sellers,0
55,APRICOT SELLERS,apricot-sellers,0
56,APRONS - SALES & PRODUCTS,aprons-sales-products,0
57,AQUARIUM PRODUCTS,aquarium-products,0
58,ARC WELDING PRODUCTS,arc-welding-products,0
59,ARCH SUPPORTS - MEDICAL SUPPLIES,arch-supports-medical-supplies,0
60,ARCHERY EQUIPMENT & SUPPLIES,archery-equipment-supplies,0
61,ARCHWAYS - GOODS & SERVICES,archways-goods-services,0
62,ARMATURES - GOODS & SERVICES,armatures-goods-services,0
63,ARMOURED CAR SERVICES,armoured-car-services,0
64,ARMY SURPLUS SUPPLIES,army-surplus-supplies,0
65,ART GOODS & PRODUCTS,art-goods-products,0
66,ARTIFICAL NAILS,artifical-nails,0
67,ARTIFICIAL EYES - PROSTHETICS,artificial-eyes-prosthetics,0
68,ARTIFICIAL GRASS/LAWN PRODUCTS,artificial-grasslawn-products,0
69,ARTIFICIAL JEWELLERY SUPPLIES,artificial-jewellery-supplies,0
70,ARTIFICIAL LIMBS - PROSTHETICS,artificial-limbs-prosthetics,0
71,ARTIFICIAL PLANTS & FLOWERS,artificial-plants-flowers,0
72,ARTISIT'S GOODS & SERVICES,artisits-goods-services,0
73,ARTS & CRAFT PRODUCTS,arts-craft-products,0
74,ASH TRAYS,ash-trays,0
75,ASIAN FOOD PRODUCTS,asian-food-products,0
76,ASPHALT PRODUCTS,asphalt-products,0
77,ASTHMA PRODUCTS,asthma-products,0
78,ASTRONOMY SUPPLIES,astronomy-supplies,0
79,ATTACHE CASES,attache-cases,0
80,ATTIC LADDER PRODUCTS,attic-ladder-products,0
81,AUDIO TAPES & SUPPLIES,audio-tapes-supplies,0
82,AUSTRALIANA GOODS,australiana-goods,0
83,AUSTRLIAN NATIVE FOOD SUPPLIES,austrlian-native-food-supplies,0
84,AUTOMATION EQUIPMENT,automation-equipment,0
85,AUTOMOTIVE PARTS - SECONDHAND,automotive-parts-secondhand,0
86,AUTOMOTIVE PRODUCTS & SUPPLIES,automotive-products-supplies,0
87,AUTOMOTIVE WRECKING YARDS,automotive-wrecking-yards,0
88,AVAITION ANTIQUES & MEMORABILIA,avaition-antiques-memorabilia,0
89,AVIARIES,aviaries,0
90,AWARD RIBBONS - PRODUCTS,award-ribbons-products,0
91,AWNINGS - BLINDS & ROLLER SHUTTER PRODUCTS,awnings-blinds-roller-shutter-products,0
92,AXLES,axles,0
93,BABIE'S WEAR,babies-wear,0
94,BACK HOES,back-hoes,0
95,BACKGROUND MUSIC SYSTEMS,background-music-systems,0
96,BADGES - GOODS & SERVICES,badges-goods-services,0
97,BAGELS,bagels,0
98,BAGS  - PRODUCTS & SERVICES,bags-products-services,0
99,BAIT - FISHING,bait-fishing,0
100,BAKERS SUPPLIES & EQUIPMENT,bakers-supplies-equipment,0
101,BALANCING EQUIPMENT,balancing-equipment,0
102,BALING PRESSES,baling-presses,0
103,BALL BEARING PRODUCTS,ball-bearing-products,0
104,BALLET/DANCING COSTUMES,balletdancing-costumes,0
105,BALSA WOOD PRODUCTS,balsa-wood-products,0
106,BALUSTRADING PRODUCTS & SERVICES,balustrading-products-services,0
107,BAMBOO PRODUCTS,bamboo-products,0
108,BANNERS,banners,0
109,BAR & HOTEL EQUIPMENT,bar-hotel-equipment,0
110,BAR CODE GOODS & EQUIPMENT,bar-code-goods-equipment,0
111,BAR REFRIGERATORS,bar-refrigerators,0
112,BARBECUE  EQUIPMENT,barbecue-equipment,0
113,BARBED WIRE PRODUCTS,barbed-wire-products,0
114,BAROMETERS,barometers,0
115,BARRELS,barrels,0
116,BARS - GOODS & SERVICES,bars-goods-services,0
117,BASKETBALL EQUIPMENT,basketball-equipment,0
118,BASKETS - GOODS & SERVICE,baskets-goods-service,0
119,BASSINETS PRODUCTS &  ACCESSORIES,bassinets-products-accessories,0
120,BATHING WEAR,bathing-wear,0
121,BATHS/BATHROOM PRODUCTS & ACCESSORIES,bathsbathroom-products-accessories,0
122,BATTERIES,batteries,0
123,BEADS - ACCESSORIES & PRODUCTS,beads-accessories-products,0
124,BEAN BAGS,bean-bags,0
125,BEANS,beans,0
126,BEARING METALS & BUSHINGS PRODUCTS,bearing-metals-bushings-products,0
127,BEAUTY CARE EQUIPMENT & SUPPLIES,beauty-care-equipment-supplies,0
128,BED & BEDDING PRODUCTS & ACCESSORIES,bed-bedding-products-accessories,0
129,BEEKEEPING PRODUCTS,beekeeping-products,0
130,BEEPERS,beepers,0
131,BEER MAKING EQUIPMENT,beer-making-equipment,0
132,BELLS & CHIMES,bells-chimes,0
133,BELTS,belts,0
134,BENCH TOP PRODUCTS,bench-top-products,0
135,BERETS - PRODUCTS & ACCESSORIES,berets-products-accessories,0
136,BEVERAGE PRODUCTS,beverage-products,0
137,BICYCLES SUPPLIES,bicycles-supplies,0
138,BI-FOLD DOOR PRODUCTS,bifold-door-products,0
139,BILLBOARDS - PRODUCTS & SUPPLIES,billboards-products-supplies,0
140,BILLIARD TABLE PRODUCTS & ACCESSORIES,billiard-table-products-accessories,0
141,BINDERS - PRODUCTS,binders-products,0
142,BINGO EQUIPMENT & ACCESSORIES,bingo-equipment-accessories,0
143,BINOCULAR PRODUCTS,binocular-products,0
144,BINS,bins,0
145,BIRD PRODUCTS & ACCESSORIES,bird-products-accessories,0
146,BIRTHDAY CAKES,birthday-cakes,0
147,BISCUITS,biscuits,0
148,BITUMEN PRODUCTS,bitumen-products,0
149,BLACKBOARD GOODS & SERVICES,blackboard-goods-services,0
150,BLANKETS,blankets,0
151,BLASTING EQUIPMENT,blasting-equipment,0
152,BLINDS - PRODUCTS & SERVICES,blinds-products-services,0
153,BLOCKS - GOODS & SERVICES,blocks-goods-services,0
154,BLOWERS,blowers,0
155,BLUE METAL PRODUCTS,blue-metal-products,0
156,BOATING - PRODUCTS & SERVICES,boating-products-services,0
157,BODY & EAR PIERCING,body-ear-piercing,0
158,BODY ARMOUR,body-armour,0
159,BODY ART,body-art,0
160,BODY BUILDER - PRODUCTS & SUPPLIES,body-builder-products-supplies,0
161,BOILERS,boilers,0
162,BOLLARD PRODUCTS,bollard-products,0
163,BOLTS & NUTS,bolts-nuts,0
164,BONSAI PRODUCTS,bonsai-products,0
165,BOOKBINDING PRODUCTS,bookbinding-products,0
166,BOOKS,books,0
167,BOOM GATES & LIFTS,boom-gates-lifts,0
168,BOOMERANG PRODUCTS,boomerang-products,0
169,BOOTS,boots,0
170,BOTTLE PRODUCTS,bottle-products,0
171,BOUNCING CASTLES,bouncing-castles,0
172,BOUYANCY PRODUCTS,bouyancy-products,0
173,BOWLING EQUIPMENT & CLOTHING PRODUCTS,bowling-equipment-clothing-products,0
174,BOWS - ACCESSORIES & PRODUCTS,bows-accessories-products,0
175,BOX PRODUCTS,box-products,0
176,BOX TRAILERS,box-trailers,0
177,BOXING EQUIPMENT & SUPPLIES,boxing-equipment-supplies,0
178,BOYS CLOTHING,boys-clothing,0
179,BRAIDS,braids,0
180,BRAKE & CLUTCH PRODUCTS,brake-clutch-products,0
181,BRASS PRODUCTS & ACCESSORIES,brass-products-accessories,0
182,BRAZIERS,braziers,0
