id,content_pagesID,content_text,sidebar_content
91,127,Welcome To The Australian Business Directory. Follow the menu above to register.<br />,No
93,126,Thanks for registering,No
94,137,Thanks for registering,No
95,122,Welcome member,No
96,133,Welcome member,No
97,140,"<a title=""Manage Multiple Websites From A Single Location"" href=""http://www.managewebsites.com.au"">ManageWebsites.com.au</a> brings you a CMS that easily enables you to manage multiple websites in multiple languages from a single location. This is a customised service designed to appeal to a wide range of Australian and International business. The solution builds new websites and content dynamically. Aimed at the business professional looking to develop online content and search engine promotion.&nbsp; A real-time, simple to use websites system design to improve your website rankings and promote your online content. <br /><br />A Perfect solution for business individuals and corporate, promote your products and services through a very easy to use centralised website management system for your network of sites. Our CMS&nbsp;allows you to include&nbsp;add websites,&nbsp;pages, edit, Latest news area/Specials, create key word rich content and make your new website solution relevant to your marketing strategy.<br /><br />A real-time,&nbsp;simple to use websites system design to promote online content and website rankings. We recommend and will install, Google analytics, so that you can monitor and modify your own websites.",No
98,141,"<span style=""font-family: 'Verdana','sans-serif'""><span style=""font-family: 'Verdana','sans-serif'""><p>We use a <span style=""font-family: 'Verdana','sans-serif'""><span style=""font-family: 'Verdana','sans-serif'"">proven</span></span> and <span style=""font-family: 'Verdana','sans-serif'""><span style=""font-family: 'Verdana','sans-serif'"">simple</span></span> methodology&nbsp;for the management of our software development process. Typically we will work with between 10 and 50 tasks within the development process. This creates an clear and open communication timeline between you the stakeholder and us the developers. Professionalism is of paramount importance to us, creating clear and easily understandable goals and time frames for the project so there is no misunderstandings in the development process.&nbsp; <br /></p><p>This project managed schedule becomes the key to understanding our workflow and when you can expect the activities to be completed. <span style=""font-family: 'Verdana','sans-serif'""><span style=""font-family: 'Verdana','sans-serif'"">The project&nbsp;will be completed in a maximum of 12 weeks. </span></span>Our aim is to complete your new website solution as quickly as possible, given the key restraint of quality. <br /></p><ul class=""unIndentedList""><li>Hosting.</li><li>Supply us with content or we create the initial content for you.</li><li>Launch design in 4-6 weeks.</li><li>Completed websites in 12 weeks.</li><li>Our major&nbsp;milestone&nbsp;is the completion of your design template.</li></ul></span></span>",No 99,142," <p>Welcome to Reduce Fuel Consumption,</p> <p>Fuel is expensive and because of the <a href=""http://peakoil.toho9000.com"">peak oil crisis </a> will cost even more. Our sponsers <a href=""http://www.toho9000.com"">TOHO9000 High Performance Car and Truck Engine Oil Treatment</a> have found a way to reduce your fuel consumption and increase engine power by 10%.</p><p>Regular engine oil is liquid, but as shown on the diagram, the gathering micro particles smaller than 1/100 micron are freely moving. As these microscopic particles mixed with the oxide, the carbon, or the sulfuric acid, they will grow into much bigger particles. As the particles become bigger, each particle increases in viscosity. Therefore, the particles can't go through the oil filter, causing the filter to lose its effect. Thus, the regular engine oil is not useful. Using <a href=""http://www.toho9000.com"">TOHO 9000</a>  in the regular engine oil controls the particles from growing, making it easier to go through the filter and maintaining its high performance.<br />   <br /> TOHO 900 oil particles are 3A and 5A, and that of regular engine oil 100A. The TOHO 9000 particles can penetrate deep into the internal metal parts of the engine, strongly performing its cleaning action, anti-rust protection and anticorrosion effect               </p><p align=""center""><img height=""234"" border=""0"" width=""350"" src=""http://toho9000.com/Pics/what2.jpg"" /> <img height=""227"" border=""0"" width=""250"" src=""http://toho9000.com/Pics/what3.jpg"" /></p>               <p align=""left"">When TOHO 9000 is added to regular engine oil, ester micro particles can suppress the gathering of regular engine oil particles and the bigger particles are being surrounded by the polarity particles, stopping the bigger particles from growing. <br /></p>The dispersion/dissociation effect of TOHO 9000 will cause the oil particles diameter to be less than 1 micron. The oil filter will not be blocked even after a long usage (the size of the filter&rsquo;s pore is one micron). Since the oil particles do not stick to the filter, it can reduce oil consumption and keep the environment clean by huge reduction in waste oil disposal. If TOHO 9000 is added to regular engine oil, oil filter&rsquo;s life span can be extended 4 to 10 times longer. Even though the sludge carbon will float in the oil as micro particles, causing the colour of the oil to turn black, this does not mean that the oil has degraded. It still remains useful.               <ul><li>                   <div align=""left""><strong>Clean the internal parts of engine</strong><br />       Keeps lubricating the internal parts of engine.<br />       Reduces wear and tear of piston ring.<br />       Lowers sludge formation behind piston rings to reduce sticking.</div>                 </li><li>                   <div align=""left""><strong>Economical</strong><br /> TOHO 9000 will not be evaporated even in high temperature. Most of the regular engine oil stick on the cylinder metal, oil is vaporized by high temperature. Replenish oil loss, the regular engine oil must be constantly added in.<br /> TOHO 9000 does not evaporate thus r<a href=""http://motoroiltreatment.toho9000.com"">educe oil consumption</a> . TOHO 9000 has lower than a half of its friction compared to the regular engine oil. Therefore, the engine moves smoothly without wasting oil, with <a href=""http://highperformanceoil.toho9000.com "">increased engine horsepower</a> , RPM and decreased exhaust temperature.</div>                 </li></ul><p>&nbsp; </p> ",No 100,143,Computer Programming For Over 30 Years.,No 101,144,Welcome to Ozzy Website Development. We are based in Sydney Australia.<br />,No 102,145,"<p class=""MainText"">Periscope Consulting ENTERPRISE <a href=""http://www.periscopeconsulting.com.au/"" target=""_blank"">Risk Management Software</a> and Compliance Management.</p><p><span class=""MainText""><br />Business compliance requires shared responsibilities and security profiles when looking at corporate infrastructure. Periscope consulting providesfully Integrated Software Solutions for integrated compliance management. Configuring systems for Risk, Quality, OH&amp;S, Environment and Documents is what periscope does best. Periscope delivers comprehensive software that enables your valuable data and information,<br />to facilitate greater integration between your systems and processes.<br /><br />*Generate simple to comprehensive dynamic reports through crystal reports<br />*Automatically schedule emails, events and task with email alerts.<br />*Configureable, screens, workflows &amp; emails for all your compliance obligations<br />*Observe Audits, Corrective Actions, Business Contracts, link objects, or such activities as workflow, emails, etc</span><br /><br /></p>",No 103,146,Creative Web Logic has developed a  multiple website CMS (Content Management System) that from a single administration you can manage networks of SEO (Search Engine Optimized) points of internet presence. ,No 3102,325,Welcome to your homepage.,No 3103,326,Welcome To CWLNet Directory Entry,No
3104,327," Email: <a href=""mailto:dpr@icwl.me"">dpr@icwl.me</a><br> Phone: 61280033457<br> Social:<br> <a>Skype</a><br> <a href=""https://g.dev/cwl"">Google Developer</a><br> <a rel=""ugc nofollow"" title=""https://www.facebook.com/Icwl.me"" class=""urlextern"" href=""https://www.facebook.com/Icwl.me"">iCWL.Net Facebook</a><br> <a rel=""ugc nofollow"" title=""https://twitter.com/daniel_ruul"" class=""urlextern"" href=""https://twitter.com/daniel_ruul"">Twitter</a><br> <a rel=""ugc nofollow"" title=""http://www.tiktok.com/@danielruul"" class=""urlextern"" href=""http://www.tiktok.com/@danielruul"">Tick Tock</a><br> <a rel=""ugc nofollow"" title=""https://www.linkedin.com/company/creative-web-logic/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_all%3B7lvDVqY0SZmV8HnzC3Giuw%3D%3D"" class=""urlextern"" href=""https://www.linkedin.com/company/creative-web-logic/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_all%3B7lvDVqY0SZmV8HnzC3Giuw%3D%3D"">Linked In</a><br>",No
104,147,hello,No
105,149,Welcome to the NSW Business Network. Please add your details into this directory.,No
132,200,"Welcome to BizFurnace. we specialize in Cms or Content Management Software,",No
133,202,Home Server,No
